Occupation,Probability,A_MEAN,EMPLOYEES,EDUCATION
"Meat, Poultry, and Fish Cutters and Trimmers",0.94,27790,156440,No formal educational credential
Cement Masons and Concrete Finishers,0.94,47350,186400,No formal educational credential
Bicycle Repairers,0.94,30290,12200,High school diploma or equivalent
"Coin, Vending, and Amusement Machine Servicers and Repairers",0.94,36390,32920,High school diploma or equivalent
"Welders, Cutters, Solderers, and Brazers",0.94,44360,389190,High school diploma or equivalent
"Cooks, Short Order",0.94,25140,155840,No formal educational credential
Excavating and Loading Machine and Dragline Operators,0.94,48680,46090,High school diploma or equivalent
Tire Builders,0.94,45530,23920,High school diploma or equivalent
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",0.94,34120,9430,No formal educational credential
First-Line Supervisors of Housekeeping and Janitorial Workers,0.94,43150,154180,High school diploma or equivalent
Manicurists and Pedicurists,0.95,25860,110170,Postsecondary nondegree award
"Textile Cutting Machine Setters, Operators, and Tenders",0.95,29440,13310,High school diploma or equivalent
Nuclear Power Reactor Operators,0.95,95310,6280,High school diploma or equivalent
Gaming Surveillance Officers and Gaming Investigators,0.95,36200,10230,High school diploma or equivalent
Operating Engineers and Other Construction Equipment Operators,0.95,53030,383480,High school diploma or equivalent
Print Binding and Finishing Workers,0.95,34850,45690,High school diploma or equivalent
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",0.95,33950,164110,High school diploma or equivalent
Adhesive Bonding Machine Operators and Tenders,0.95,35850,16310,High school diploma or equivalent
Landscaping and Groundskeeping Workers,0.95,30940,913480,No formal educational credential
"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.95,36690,71870,High school diploma or equivalent
Postal Service Clerks,0.95,50860,78830,High school diploma or equivalent
"Dispatchers, Except Police, Fire, and Ambulance",0.96,42940,199880,High school diploma or equivalent
"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",0.96,23240,473860,No formal educational credential
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",0.96,38030,2165310,High school diploma or equivalent
"Model Makers, Wood",0.96,52590,740,High school diploma or equivalent
"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",0.96,29660,31650,High school diploma or equivalent
Locomotive Engineers,0.96,66920,34850,High school diploma or equivalent
Gaming Dealers,0.96,23070,92530,High school diploma or equivalent
"Fabric Menders, Except Garment",0.96,33550,400,High school diploma or equivalent
"Cooks, Restaurant",0.96,27580,1340810,No formal educational credential
"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",0.97,31110,78980,High school diploma or equivalent
Shoe Machine Operators and Tenders,0.97,30110,3810,High school diploma or equivalent
Farm Labor Contractors,0.97,52930,200,No formal educational credential
Textile Bleaching and Dyeing Machine Operators and Tenders,0.97,29930,9330,High school diploma or equivalent
Dental Laboratory Technicians,0.97,43180,34480,High school diploma or equivalent
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",0.97,38060,31890,High school diploma or equivalent
"Grinding and Polishing Workers, Hand",0.97,31900,30280,No formal educational credential
"Pesticide Handlers, Sprayers, and Applicators, Vegetation",0.97,38210,24500,High school diploma or equivalent
Log Graders and Scalers,0.97,39060,3330,High school diploma or equivalent
Ophthalmic Laboratory Technicians,0.97,34490,27960,High school diploma or equivalent
Camera and Photographic Equipment Repairers,0.97,42540,3690,High school diploma or equivalent
Prepress Technicians and Workers,0.97,42240,29990,Postsecondary nondegree award
Counter and Rental Clerks,0.97,31200,426700,No formal educational credential
Real Estate Brokers,0.97,78940,40320,High school diploma or equivalent
Models,0.98,31570,3310,No formal educational credential
Legal Secretaries,0.98,50040,176880,High school diploma or equivalent
Radio Operators,0.98,44710,870,High school diploma or equivalent
Driver/Sales Workers,0.98,29610,414860,High school diploma or equivalent
"Claims Adjusters, Examiners, and Investigators",0.98,67540,287730,High school diploma or equivalent
Parts Salespersons,0.98,34080,254870,No formal educational credential
"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",0.98,44490,19440,High school diploma or equivalent
